Package type;Shape;Size;Opening;;Quality;Q-S-V;;Length;Width;Paperboard;Paperboard info;LDPE;LLDPE;PA6;PP;EVOH;LK-film;LK25-film;R2-film;K40-film;EVOH-film 3141;EVOH-film 3143;OPP-film;PET-film;Al thickness;;Top Eifel weight;Top others weight;Top Orion;Cap HDPE;DIMC LDPE;Opening HDPE;Opening LDPE;Opening PP;Pulltab area;Sales 2011;;Area;Paperboard weight;LDPE weight;LLDPE weight;PA6;PP;EVOH;LK36-film weight;LK25-film;R2;K40;EVOH-film 3141 weight;EVOH-film 3143 weight;OPP-film weight;PET-film weight;Al grammage;Al weight;LS-strip weight;Pulltab weight;;Package Weight;Top Weight;Package+Top Weight;CapWeight;Opening weight;Total Weight;GWP Raw mtrl sleeve;GWP Raw mtrl top/cap/opening;GWP Raw mtrl;GWP converting sleeve;GWP converting top/cap/opening;GWP transport;GWP converting & transport;GWP total;;Sleeve Weight;Top Weight;Sleeve+Top Weight;Cap Weight;Opening Weight;Total Weight;GWP Raw mtrl sleeve;GWP Raw mtrl top/cap/opening;GWP Raw mtrl;GWP converting & transport;GWP total;Updated;SystemImage;ShapeImage;VolumeImage;OpeningImage;LastImage
Tetra Brik;Base;200;Perforation;;TB/ml;7183-460-10;;140;214;185;1501 Duplex Korsn„s G„vle 80 mN;38;14;;;;;;;;;;;;;;;;;;;;;;;1;;0,03;5,5;1,14;0,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08;0;;7,18;0;7,18;0;0;7,18;7,4;0;7,4;1,7;0;0,2;1,9;9,3;;7;0;7;0;0;7;7;0;7;2;9;X;TBA_001;TBA_base;TBA_base_200;no_opening_TBA;TBA_200_base_no
Tetra Brik;Base;200;No opening;;TB/ml;6065-460-28;;140;214;198;1621 CLC/C Duplex Korsn„s G„vle 80 mN;38;14;;;;;;;;;;;;;;;;;;;;;;;1031;;0,03;5,9;1,14;0,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08;0;;7,57;0;7,5656;0;0;7,57;7,6;0;7,6;1,7;0;0,2;1,9;9,5;;7;0;7;0;0;7;7;0;7;2;9;X;TBA_001;TBA_base;TBA_base_200;no_opening_TBA;TBA_200_base_no
Tetra Brik;Base;200;No opening;;TB/ml;6131-460-28;;140;214;185;1501 Duplex Korsn„s G„vle 80 mN;38;14;;;;;;;;;;;;;;;;;;;;;;;3197;;0,03;5,5;1,14;0,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08;0;;7,18;0;7,17612;0;0;7,18;7,4;0;7,4;1,7;0;0,2;1,9;9,3;;;;;;;;;;;;;;;;;;
Tetra Brik;Base;200;Strawhole;;TB/m;6050-460-29;;140;214;207;1123 Bleached MWV 80 mN;57;;;;;;;;;;;;;;;;;;;;;;;;417694;;0,03;6,2;1,71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08;0;;7,99;0;7,98504;0;0;7,99;8,3;0;8,3;1,7;0;0,2;1,9;10,2;;8;0;8;0;0;8;8;0;8;2;10;X;TBA_001;TBA_base;TBA_base_200;straw_hole_TBA;TBA_200_base_no
Tetra Brik;Base;200;Strawhole;;TB/ml;7183-460-09;;140;214;185;1501 Duplex Korsn„s G„vle 80 mN;38;14;;;;;;;;;;;;;;;;;;;;;;;93112;;0,03;5,5;1,14;0,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08;0;;7,18;0;7,17612;0;0;7,18;7,4;0;7,4;1,7;0;0,2;1,9;9,3;;;;;;;;;;;;;;;;;;
Tetra Brik;Base;250;Perforation;;TB/ml;6065-560-04;;163,33;214;198;1621 CLC/C Duplex Korsn„s G„vle 80 mN;38;14;;;;;;;;;;;;;;;;;;;;;;;12788;;0,035;6,9;1,33;0,49;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09;0;;8,83;0;8,8263532;0;0;8,83;8,9;0;8,9;2;0;0,2;2,2;11,1;;9;0;9;0;0;9;9;0;9;2;11;X;TBA_001;TBA_base;TBA_base_250;no_opening_TBA;TBA_250_base_no
Tetra Brik;Base;250;Perforation;;TB/ml;6131-560-02;;163,33;214;185;1501 Duplex Korsn„s G„vle 80 mN;38;14;;;;;;;;;;;;;;;;;;;;;;;554;;0,035;6,5;1,33;0,49;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09;0;;8,37;0;8,37196914;0;0;8,37;8,6;0;8,6;2;0;0,2;2,2;10,8;;;;;;;;;;;;;;;;;;
Tetra Brik;Base;250;Strawhole;;TB/m;6050-560-09;;163,33;214;207;1123 Bleached MWV 80 mN;57;;;;;;;;;;;;;;;;;;;;;;;;1671;;0,035;7,2;1,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09;0;;9,32;0;9,31568988;0;0;9,32;9,7;0;9,7;2;0;0,2;2,2;11,9;;10;0;10;0;0;10;10;0;10;2;12;X;TBA_001;TBA_base;TBA_base_250;straw_hole_TBA;TBA_250_base_no
Tetra Brik;Base;250;Strawhole;;TB/ml;6066-560-09;;163,33;214;229;1622 CLC/C Duplex Korsn„s G„vle 150 mN;38;14;;;;;;;;;;;;;;;;;;;;;;;9138;;0,035;8;1,33;0,49;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09;0;;9,91;0;9,90988442;0;0;9,91;9,6;0;9,6;2;0;0,3;2,2;11,9;;;;;;;;;;;;;;;;;;
Tetra Brik;Base;300;Perforation;;TB/ml;6131-580-28;;172,5;227;217;1502 Duplex Korsn„s G„vle 150 mN;38;14;;;;;;;;;;;;;;;;;;;;;;;41427;;0,039;8,5;1,49;0,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09;0;;10,63;0;10,6265175;0;0;10,63;10,5;0;10,5;2,2;0;0,3;2,5;13;;11;0;11;0;0;11;10;0;10;3;13;X;TBA_001;TBA_base;TBA_base_250;no_opening_TBA;TB_300_base_no
Tetra Brik;Base;300;Perforation;;TB/ml;6065-580-28;;172,5;227;229;1622 CLC/C Duplex Korsn„s G„vle 150 mN;38;14;;;;;;;;;;;;;;;;;;;;;;;4513;;0,039;9;1,49;0,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09;0;;11,1;0;11,0964075;0;0;11,1;10,8;0;10,8;2,2;0;0,3;2,5;13,3;;;;;;;;;;;;;;;;;;
Tetra Brik;Base;500;Perforation;;TB/ml;6065-700-38;;166,67;322;229;1622 CLC/C Duplex Korsn„s G„vle 150 mN;38;14;;;;;;;;;;;;;;;;;;;;;;;10424;;0,054;12,3;2,04;0,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09;0;;15,17;0;15,17063674;0;0;15,17;14,6;0;14,6;3,1;0;0,4;3,5;18;;15;0;15;0;0;15;14;0;14;3;18;X;TBA_001;TBA_base;TBA_base_500;;TBA_500_base_no
Tetra Brik;Base;500;Perforation;;TB/ml;6131-700-38;;166,67;322;217;1502 Duplex Korsn„s G„vle 150 mN;38;14;;;;;;;;;;;;;;;;;;;;;;;9887;;0,054;11,6;2,04;0,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09;0;;14,53;0;14,52662386;0;0;14,53;14,2;0;14,2;3,1;0;0,4;3,4;17,6;;;;;;;;;;;;;;;;;;
Tetra Brik;Base;1000;Perforation;;TB/ml;7166-810-38;;245;322;306;1617 CLC/C Bleached IP Augusta 260 mN;42;14;;;;;;;;;;;;;;;;;;;;;;;50994;;0,079;24,1;3,31;1,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,13;0;;28,69;0;28,69048;0;0;28,69;26,2;0;26,2;4,5;0;0,8;5,3;31,4;;26;0;26;0;0;26;24;0;24;5;29;X;TBA_001;TBA_base;TBA_base;no_opening_TBA;TBA_1000_base_no
Tetra Brik;Base;1000;Perforation;;TB/ml;6066-810-28;;245;322;288;1624 CLC/C Duplex Korsn„s Fr”vi 320 mN;38;14;;;;;;;;;;;;;;;;;;;;;;;135822;;0,079;22,7;3;1,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,13;0;;26,95;0;26,9549;0;0;26,95;24,5;0;24,5;4,5;0;0,7;5,2;29,7;;;;;;;;;;;;;;;;;;
